2    CONTINUED:                                                  2		GOMEZ	 (gazing at Morticia) Look at her -- I would die for her. I would kill for her. Either way -- what bliss. Low-voiced, incisive, and subtle, with Morticia, smiles are rare. The ghostly whiteness of her complexion is offset by the red of the pillowcase upon which her hair is spread like a diabolic halo. A dark Garbo, sultry and remote, she's a ruined beauty. Morticia OPENS HER EYES.	GOMEZ	 (adoringly) Unhappy, darling?	MORTICIA	 (passionately) Oh, yes, yes. Completely.	 Addams Family
FESTER	 (to Abigail) You can't! Not with red-hot pokers!	TULLY	 (queasy) Is this gonna smell?	MORTICIA	 (graciously, with understanding) Tully Alford - charlatan. Deadbeat. Parasite. How Gomez adored you.	TULLY		 Addams Family
TULLY	 (queasy) Is this gonna smell?	MORTICIA	 (graciously, with understanding) Tully Alford - charlatan. Deadbeat. Parasite. How Gomez adored you.	TULLY		FESTER		 Addams Family
MORTICIA		ABIGAIL	 (furious) Gordon?	FESTER	 (very upset) I was... restless! I couldn't sleep.	ABIGAIL		 Addams Family
ABIGAIL	 (furious) Gordon?	FESTER	 (very upset) I was... restless! I couldn't sleep.	ABIGAIL		ABIGAIL		 Addams Family
MORTICIA		GOMEZ	 (to Morticia) To live without you - only that would be torture.	165   CONTINUED:   (3)                                            165		MORTICIA	 (to Gomez) A day alone - only that would be death. Gomez kisses Morticia's hand.	 Addams Family
165   CONTINUED:   (3)                                            165		MORTICIA	 (to Gomez) A day alone - only that would be death. Gomez kisses Morticia's hand.	ABIGAIL		FESTER		 Addams Family
FESTER		GOMEZ	 (murmuring) Good show, old man... Fester reaches for a DIFFERENT BOOK -- "Hurricane Irene: Nightmare from Above." Seeing the title of the book, Tully suddenly panics:	165   CONTINUED:   (4)                                          165		TULLY		 Addams Family
TULLY		FESTER	 (advancing on Tully) Oh, really?	TULLY		FESTER		 Addams Family
165    CONTINUED:   (5)                                          165		GOMEZ	 (calling out, to Fester) Old man, this way! ANGLE on Abigail and Fester.	ABIGAIL		FESTER		 Addams Family
FESTER		GOMEZ	 (calling out to Fester) Old man! This way! ANGLE ON THING, across the room, struggling across the floor toward the bookshelf. Thing fights the wind, which pelts him with papers and other flying debris. Gomez can no longer fight the storm, and the bookshelf slams shut. Fester desperately tries to close the book to quell the storm, but a HUGE BOLT OF LIGHTNING ZAPS HIM. He falls to the floor, with electricity coursing through him.	166    OMITTED                                                   166		169                                                              169		 Addams Family
GRANNY		FESTER	 (petting Thing) Oh, calm down.	PUGSLEY (O.S.)		GOMEZ		 Addams Family
GOMEZ		MORTICIA	 (delighted) Look at you.	PUGSLEY	 (to Uncle Fester) How do you like it? Fester is very touched; he picks Pugsley up.	175   CONTINUED:                                               175		 Addams Family
MORTICIA	 (delighted) Look at you.	PUGSLEY	 (to Uncle Fester) How do you like it? Fester is very touched; he picks Pugsley up.	175   CONTINUED:                                               175		FESTER		 Addams Family
MARGARET		GOMEZ	 (admiringly) It is a wonderful hat.	MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.	 Addams Family
GOMEZ	 (admiringly) It is a wonderful hat.	MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.			 Addams Family
MARGARET	 (to Wednesday) And what are you, darling?   Where's your costume?	WEDNESDAY	 (solemnly) This is my costume. I'm a homicidal maniac. They look just like everyone else.					 Addams Family
FESTER		MORTICIA	 (shaking her head, sadly) But not enough.	PUGSLEY	 (to Fester) She wasn't your mother.     She just said that.	COUSIN IT		 Addams Family
MORTICIA	 (shaking her head, sadly) But not enough.	PUGSLEY	 (to Fester) She wasn't your mother.     She just said that.	COUSIN IT		GOMEZ	 (to It) You remember, old sport - she really did find him tangled in a tuna net, twenty-five years ago. With amnesia.	 Addams Family
COUSIN IT		MARGARET	 (the coquette) Oh, stop. I'm blushing.	176   CONTINUED:                                             176		GRANNY	 (to Fester) Thank God for that lightning. Knocked some sense into you.	 Addams Family
176   CONTINUED:                                             176		GRANNY	 (to Fester) Thank God for that lightning. Knocked some sense into you.	PUGSLEY		GOMEZ	 (jovially) Pugsley...	 Addams Family
PUGSLEY		GOMEZ	 (jovially) Pugsley...	176   CONTINUED:   (2)                                           176		PUGSLEY		 Addams Family
MORTICIA		FESTER	 (delighted, to Gomez remembering this childhood favorite) "Wake The Dead"!	GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	 Addams Family
FESTER	 (delighted, to Gomez remembering this childhood favorite) "Wake The Dead"!	GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	GRANNY		 Addams Family
GOMEZ	 (equally excited) "Wake The Dead"! Out to the cemetery! Come on, everyone! Everyone starts to exit, chattering happily.	MARGARET	 (to Granny) I've never played this before - how does it go?	GRANNY		176   CONTINUED:   (3)                                          176		 Addams Family
WEDNESDAY		FESTER	 (to Wednesday) I tell you what - we'll give you a head start. Three skulls and a pelvis - how's that? Pugsley and Wednesday cheer and run out.   Fester faces Gomez.	FESTER		GOMEZ		 Addams Family
GOMEZ		MORTICIA	 (touched by the brothers devotion) And just as refreshing. Gomez offers his hand.   Fester takes it, in a manly handshake.	GOMEZ		FESTER		 Addams Family
MORTICIA	 (deeply satisfied) Our family... what are they?	GOMEZ		MORTICIA				 Addams Family
MORTICIA		GOMEZ	 (ecstatic) Cara mia... is it true?	MORTICIA	 (shaking her head "yes") Oui, mon cher... They embrace, as the front door SWINGS OPEN, of its own accord.			 Addams Family
GOMEZ	 (ecstatic) Cara mia... is it true?	MORTICIA	 (shaking her head "yes") Oui, mon cher... They embrace, as the front door SWINGS OPEN, of its own accord.					 Addams Family
