7 BEAUTIFUL WOMAN		EMMA	 How now brown cow ... (pause) The rain in Spain falls mainly on the plain ... (pause) The quick brown fox jumped over the lazy --	VOICE (V.O.)	 (filtered) Password affirmative. Thank you, Doctor.	8 INSIDE PHONE BOX		Avengers, The 
MOTHER	 Oh, yes we are.	BRENDA	 (to Emma, cunning) Macaroon?	54      IN DARKNESS		MOTHER	 We've had a series of bizarre weather reports. We kept them hush-hush and sent agents into the field for data. Case number one: April 14, 3:35 P.M., Special Agent Simkins investigating mysterious fires in corn circles. A field outside the village of Little Snoring, one of the hottest days of the year. Trapped by a sudden blizzard. Found frozen to death in a giant ice cube -- like a mammoth in perma-frost. (the picture changes) Case two: Pilot Raymond Shaw, May 6, 11:28 A.M. Took off from a deserted airstrip near Stoke Poges, investigating bizarre atmospheric reports. A freak rainstorm downed him. Knocked unconscious by a flying fish, falling from 15,000 feet. Twenty-five inches of rain in eight minutes, over an area the size of a cricket pitch ... (the picture changes) ... Case three: June 2, 5:43 P.M. Defense Chief Major Courtnay. Remains discovered in a turnip field near Ashby de la Zouche. Our boffins recorded a sudden blast of heat. Scorched earth, temperature of 1000 degrees. Spontaneous combustion. Not much of him left ...	Avengers, The 
54      IN DARKNESS		MOTHER	 We've had a series of bizarre weather reports. We kept them hush-hush and sent agents into the field for data. Case number one: April 14, 3:35 P.M., Special Agent Simkins investigating mysterious fires in corn circles. A field outside the village of Little Snoring, one of the hottest days of the year. Trapped by a sudden blizzard. Found frozen to death in a giant ice cube -- like a mammoth in perma-frost. (the picture changes) Case two: Pilot Raymond Shaw, May 6, 11:28 A.M. Took off from a deserted airstrip near Stoke Poges, investigating bizarre atmospheric reports. A freak rainstorm downed him. Knocked unconscious by a flying fish, falling from 15,000 feet. Twenty-five inches of rain in eight minutes, over an area the size of a cricket pitch ... (the picture changes) ... Case three: June 2, 5:43 P.M. Defense Chief Major Courtnay. Remains discovered in a turnip field near Ashby de la Zouche. Our boffins recorded a sudden blast of heat. Scorched earth, temperature of 1000 degrees. Spontaneous combustion. Not much of him left ...	MOTHER	 My number two. Special assignments. She's --	EMMA	 Let me guess -- 'Father'?	Avengers, The 
STEED	 Ah ... From Trubshaw's.  My shoemaker.	EMMA	 (unimpressed) A kipper. Or a red herring? What were they investigating?	FATHER	 A series of bizarre shifts in local weather patterns ...	STEED	 Global warming?	Avengers, The 
MOTHER	 Something strange is happening. And whoever knows about it doesn't want us to find out.	FATHER	 (to Steed) Your mission is simple. Find out how and why these agents died.	EMMA	 I'm no spy -- where do I fit in?	MOTHER	 Your research into climate engineering was state-of-the-art. Your experiments could have revolutionized our knowledge of global warming -- had they succeeded. We need your expertise.	Avengers, The 
MOTHER	 Father will be your controller. Steed here will show you the ropes.	EMMA	 (very arch) Ropes?					Avengers, The 
STEED	 Perhaps I ought to talk with Dr. Darling. 58      INT.  SECRET SERVICE HQ PSY OPS ROOM (1964) -- Poignant, inscrutable, fascinating, iconic -- blown up, dissected, analyzed. The swirling newspaper dots cover Mother and Steed like bubbles from a light show.	DR. DARLING	 One key point: Mrs. Peel is a widow: she's obsessively devoted to the memory of her husband the scientist Peter Peel. You may find her a little ... remote.	DR. DARLING	 They were a team. Met at Cambridge. Working on a top secret research mission into weather conditions, code name The Prospero Project, when Peel died.			Avengers, The 
DR. DARLING	 Her husband was one of ours.	STEED	 (eyes Peel's photo, then Mother) Peel? Did she know?	MOTHER	 Still doesn't. Better safe than sorry.  She was in a dangerous game, Steed. High stakes. She may prove to be a risk.  If she is, there's only one solution.  Termination.	STEED	 Anyone particular in mind?	Avengers, The 
EMMA	 I've no intention of hiding them ...	STEED	 Scientist ... (tic-tac) ... marksman ... (tic-tac) ... swordsman ... (tic-tac) ... To what do you attribute your overachievements?	EMMA	 My father always wanted a boy.	STEED	 Really?  I fail to see the connection.	Avengers, The 
STEED	 Oh, absolutely, but Trubshaw's a man worth meeting. No point setting out half shod.	EMMA	 (dry) Or half cocked.	61      CLOSEUP - TRUBSHAW		STEED	 I couldn't agree more. Thank you, Trubshaw.	Avengers, The 
STEED	 I couldn't agree more. Thank you, Trubshaw.	TRUBSHAW	 (significantly) Very good, Mr. Steed.					Avengers, The 
EMMA	 (gags at the waistcoat) Steed, we really must be --	STEED	 (relishing his shoes) Ahh. Perfect fit. The luxury of a hand-made shoe. As unique as a face or a fingerprint. Or should I say DNA?	63      BEHIND DISPLAY		EMMA	 You can but I wish you wouldn't ...	Avengers, The 
EMMA	 Just what is your position, if you don't mind my asking.  How did a stuffed shirt like you get into this line of work?	STEED	 (smiles) They call me in when they've reached a dead end. Freelance. Like yourself.	EMMA	 I have no choice. Why should you risk your life?	STEED	 After our fencing match, I was rather hoping you would do the risking. More tea?	Avengers, The 
EMMA	 Any other vices?	STEED	 All of a piece, really. A fanatical weatherman. Chairman of BROLLY. (off her look) British Royal Organisation For Lasting Liquid Years. Thinks British weather has been tampered with by ... aliens.	EMMA	 So ... I distract him while you snoop around? How?	STEED	 Small talk.  Try the weather.	Avengers, The 
EMMA	 I've come to apply for membership in Brolly --	SIR AUGUST	 (shouts above the tempest) You don't get rain like you used to in England. A good shower that's the ticket. Stiffens resolve, puckers the spirit, quells the namby-pamby in a man.	EMMA	 I so agree. How did you acquire a taste for it?	SIR AUGUST	 Out in India. So character-forming for the British. Not the heat. Good Lord, no. The rain, dash it. A good monsoon. Fifteen inches overnight. A whole week of lovely rain. I remember one summer in Jaipur ...	Avengers, The 
SIR AUGUST	 Ah, Lady June ...	LADY JUNE	 Dear August.  Loves his showers. Like a baby. (beat) Scones, Mrs. Peel?	EMMA	 Thank you, Lady -- June ...	SIR AUGUST	 Ah, beautiful. Just as he promised.	Avengers, The 
STEED	 'The Merry Widow'...?	VOICE (V.O.)	 (filtered) ... Hello ... Hello? ... Who the hell...? Who is this? ... You must leave the test area. I repeat, leave the area ... Help is on the way ...	79      ON HORIZON		.STEED	 Mrs. Peel. Good of you to drop by. And I see you're wearing your - riding outfit?	Avengers, The 
STEED	 Ah, Brenda ... (as she leaves) Mrs. Peel?	EMMA	 You should be dead.  How do you feel?	STEED	 (eyes her) Strange.			Avengers, The 
EMMA	 You should be dead.  How do you feel?	STEED	 (eyes her) Strange.	EMMA	 You were very lucky.  Four shots to the heart. I found you after I slipped away from Sir August. Mother brought you here. Not me you should thank.	STEED	 I wasn't about to.	Avengers, The 
STEED	 Perhaps your memory plays tricks, Mrs. Peel.	EMMA	 (conceding) That's possible. Sir August was convinced he'd met me before. But I'd never met him. Another odd thing. When it rained, he said it was just as someone had promised.	STEED	 Did he say who?	EMMA	 No. But he must know. Incidentally, my double left you with this.	Avengers, The 
STEED	 Either way ... may I ask: why you dress in that fashion?	EMMA	 I should have thought that was obvious ... (off his smirk) I'm in mourning.	STEED	 I can't wait to see afternoon.	EMMA	 Where's the picnic?	Avengers, The 
EMMA	 Is that written in his shoe?	STEED	 (smug) Common knowledge, Mrs. Peel ...	EMMA	 (shrugs) She had this in her mouth. There, there...	STEED	 Not again.  There's got to be another. way to go about this.	Avengers, The 
STEED	 (smug) Common knowledge, Mrs. Peel ...	EMMA	 (shrugs) She had this in her mouth. There, there...	STEED	 Not again.  There's got to be another. way to go about this.			Avengers, The 
VOICE (V.O.)	 (filtered) Naughty teddy ...	MAN	 No! You can't ...	VOICE (V.O.)	 (filtered) Ask not for whom the telephone rings, it rings for thee ...			Avengers, The 
MAN	 No! You can't ...	VOICE (V.O.)	 (filtered) Ask not for whom the telephone rings, it rings for thee ...	MAN	 But I've got rid of her.  She's ...	VOICE (V.O.)	 (filtered) Go to the window ... To the window.	Avengers, The 
MAN	 But I've got rid of her.  She's ...	VOICE (V.O.)	 (filtered) Go to the window ... To the window.					Avengers, The 
STEED	 For you, Mrs. Peel.	EMMA	 Thanks ... (dry) I see what you mean about letting me do the risking ... Hello?	SIR AUGUST (V.O.)	 (filtered) Mrs. Peel ... Come quickly. Brolly's been betrayed! I'll tell you everything ... The weather's getting worse and worse ... they're after me ... coming for me ... come quickly!	EMMA	 Sir August...? (to Steed) What now?	Avengers, The 
EMMA	 Thanks ... (dry) I see what you mean about letting me do the risking ... Hello?	SIR AUGUST (V.O.)	 (filtered) Mrs. Peel ... Come quickly. Brolly's been betrayed! I'll tell you everything ... The weather's getting worse and worse ... they're after me ... coming for me ... come quickly!	EMMA	 Sir August...? (to Steed) What now?	STEED	 Ask Mother.	Avengers, The 
SIR AUGUST (V.O.)	 (filtered) Mrs. Peel ... Come quickly. Brolly's been betrayed! I'll tell you everything ... The weather's getting worse and worse ... they're after me ... coming for me ... come quickly!	EMMA	 Sir August...? (to Steed) What now?	STEED	 Ask Mother.			Avengers, The 
SIR AUGUST	 Mrs. Peel -- ?	VOICE (V.O.)	 (filtered) Ask not for whom the telephone rings ...	SIR AUGUST	 No, please! I beg you ...	VOICE (V.O.)	 (filtered) Walk over to the window ...	Avengers, The 
SIR AUGUST	 No, please! I beg you ...	VOICE (V.O.)	 (filtered) Walk over to the window ...	SIR AUGUST	 Let it be rain, please let it be --	VOICE (V.O.)	 (filtered) Stay by the window. By the window.	Avengers, The 
SIR AUGUST	 Let it be rain, please let it be --	VOICE (V.O.)	 (filtered) Stay by the window. By the window.	123     OUTSIDE		FATHER (V.O.)	 Emergency alert ...	Avengers, The 
STEED	 Is there anything that isn't?	EMMA	 (ignores) The Prospero Project was started by my husband. It was an early attempt to solve the problems of global warming. In theory, climate engineering is entirely feasible. We thought of injecting a chemical cocktail into the atmosphere by laser and satellite. A 'quick fix'...	STEED	 Filling in mother nature's blind spots ... ?	EMMA	 Exactly. There'd been earlier attempts to pump carbon dioxide into deep sea. Propane gas mostly. In small quantities it captures chlorine. Protects the ozone layer. But it proved impractical. Too bulky ...	Avengers, The 
STEED	 ... And by you, Mrs. Peel ...	EMMA	 (ignores) Then a mad millionaire. Head of a secret defense establishment. A group of eccentrics obsessed by weather ...	STEED	 ... And by you, Mrs. Peel. Everything points to you.  No sisters?  No undiscovered twin?	EMMA	 Not that I know of.  Explanation?	Avengers, The 
EMMA	 Is that what you think?	STEED	 Oh, well ... (beat) Just my type, Mrs. Peel.					Avengers, The 
STEED	 Do you always drive this fast?	EMMA	 Have I trespassed on a male prerogative? (before his reply) We're being followed. I saw him at Trubshaw's ...	EMMA	 Hold on ...			Avengers, The 
STEED	 I think so, thank you so much ...	BAILEY	 (relishing) Reach for the sky, pardner.	OLD LADY	 Oh, dear --	OLD LADY	 Cocky little bastard. I hope he was a baddy.	Avengers, The 
OLD LADY	 I'm Alice. Mother said you'd be on your way. Mrs. Peel with you?	STEED	 (looks around) She was ...	OLD LADY	 You with Mother or Father?	STEED	 Both, actually.	Avengers, The 
OLD LADY	 Good. Glad to see they're together at last. They don't get along. Promotion. Top job. Most unfair. Quite a fuss at the Ministry.	STEED	 (not paying attention) You don't say. (mumbles) Like looking for a needle in a ...	142     INSIDE HAYSTACK		STEED	 What, Lady Disdain? Are you yet breathing?	Avengers, The 
143     OUTSIDE HAYSTACK		EMMA	 (holding it ruefully) This must be the last straw.	STEED	 (takes one off her back) Here's the one that broke the camel's back.	EMMA	 Someone didn't want us to get to the party.	Avengers, The 
EMMA	 (holding it ruefully) This must be the last straw.	STEED	 (takes one off her back) Here's the one that broke the camel's back.	EMMA	 Someone didn't want us to get to the party.	STEED	 I expect we'll have to gatecrash.	Avengers, The 
STEED	 (checks postcard) Wonderland Weather Ltd.	OLD LADY	 This way ...					Avengers, The 
158     IN MAZE		STEED	 (re: rain) Not again.	OLD LADY	 It's a trap. Tell Mother, beware. Tell Father.			Avengers, The 
EMMA	 Was I?	STEED	 (no smile) I expect that's for you to know and me to find out ...	EMMA	 It was Peter -- I saw him ...	165     ABOVE HER		Avengers, The 
DR. DARLING	 I want you to say the first thing that comes into your head when I say these words. Do you understand ... ? (as she nods) Blue ...	EMMA	 ... bottle ...	DR. DARLING	 Red ...			Avengers, The 
EMMA	 Do you get paid by the hour?	MOTHER	 (filtered) You are here under observation, Mrs. Peel. You must answer Dr. Darling's questions	EMMA	 I resign.	MOTHER	 (filtered) You need treatment, Mrs. Peel.  You can't resign.	Avengers, The 
EMMA	 I resign.	MOTHER	 (filtered) You need treatment, Mrs. Peel.  You can't resign.	EMMA	 Watch me.	"ANTI-GRAVITY CHAMBER -- NO ADMITTANCE"		Avengers, The 
EMMA	 (echoing) What are you trying to do to me?	MOTHER	 (flailing) We want to help...!	EMMA	 I thought I was a widow. My husband ... the only man I ever loved ... is dead. For the rest of my life I have to live with that.	MOTHER	 The death of Peter Peel was a great loss. To us all ...	Avengers, The 
EMMA	 The Institute ... the funding ...	MOTHER	 A cover ... for us. (beat) I'm sorry...	EMMA	 So all that time. Our work, our research was for you ... for this? And the accident --	DARLING	 It was no accident.	Avengers, The 
EMMA	 The official investigation ...	MOTHER	 ... was written by me. (beat) It was sabotage, Mrs. Peel.	EMMA	 Who?	MOTHER	 Quite frankly ... it could have been you.	Avengers, The 
EMMA	 To kill me?	STEED	 (fractional pause) Nothing personal.					Avengers, The 
EMMA	 Because you always obey orders ...	STEED	 Always. (pause) Except ...	EMMA	 Yes ... ?	STEED	 ... when I don't. It comes down to one thing, Mrs. Peel. Trust.	Avengers, The 
EMMA	 Please don't tell me it's how you play the game.	STEED	 (smiles; stands aside) After you -- Mrs. Peel ...	EMMA	 No, after you.	STEED	 (back to square one) You don't trust me?	Avengers, The 
EMMA	 No, after you.	STEED	 (back to square one) You don't trust me?	EMMA	 As far as you trust me.	EMMA	 When it happens, Steed, you'll be the first to know ...	Avengers, The 
EMMA	 No idea who. No idea why ...	STEED	 (thinks) Teddy bears, cuckoo clocks, toys All children's things ...	EMMA	 ... Or grown-ups, who still like to be children.	STEED	 Quite. Any childhood friends? Enemies?	Avengers, The 
STEED	 You didn't tell her?	INVISIBLE JONES (V.O.)	 (testy) I was getting to it.	EMMA	 Getting to what?	INVISIBLE JONES (V.O.)	 The World Council of Ministers meets tomorrow to convene the new global defense initiative --	Avengers, The 
EMMA	 Have we been invited?	INVISIBLE JONES (V.O.)	 (poker-voiced) Under the circumstances Mother didn't see fit, but I think I can get you in ...	EMMA	 (surveys her male outfit) Well, I can't possibly go like this.	STEED	 I had a feeling. That's why we're in a hurry ...	Avengers, The 
INVISIBLE JONES (V.O.)	 (poker-voiced) Under the circumstances Mother didn't see fit, but I think I can get you in ...	EMMA	 (surveys her male outfit) Well, I can't possibly go like this.	STEED	 I had a feeling. That's why we're in a hurry ...	STEED	 May I have the honor, Mrs. Peel?	Avengers, The 
STEED	 Limpet bomb. Small, very compact. From Trubshaw's.	EMMA	 (hocks it on belt) When all this is over, we simply must get you out of that suit.	STEED	 You first.	EMMA	 Shall we?	Avengers, The 
EMMA	 Trubshaw again? What now?	STEED	 Snuff. (off Emma's lock) I must insist you try some.					Avengers, The 
STEED	 They're playing your song, Mrs. Peel.	EMMA	 (annoyed) 'The Merry Widow?' I might have known. Where's the reception?					Avengers, The 
FATHER (O.S.)	 You disobeyed an order, Steed. Mrs. Peel is dangerous; she cannot be trusted.	STEED (O.S.)	 I think she can. (beat) Can you?	FATHER	 I shall summon security.	STEED	 Bad news. Father's looking for you. Where are those bloody ministers?	Avengers, The 
EMMA	 Anyone else need a lift?	MAN	 (to Pilot; intercom) Can't you throw her off?	VOICE (V.O.)	 (intercom) Where'd she go?			Avengers, The 
MAN	 (to Pilot; intercom) Can't you throw her off?	VOICE (V.O.)	 (intercom) Where'd she go?					Avengers, The 
EMMA	 But --	STEED	 (comes back) Oh, and by the way, I think it's about time you got rid of that chip on your shoulder.	EMMA	 If you'd been through what I have, you wouldn't --	STEED	 A microtag. One of Mother's little toys. There you are. Free at last.	Avengers, The 
MOTHER	 Where's Mrs. Peel?	STEED (V.O.)	 (filtered) I was hoping you could tell me.	MOTHER	 You're getting yourself into terrible trouble, my son. Weather's turning very nasty -- and so am I.	STEED (V.O.)	 (filtered) I'm going to follow up on a hunch of my own. If I'm right, Mrs. Peel is innocent and you have a mole.	Avengers, The 
MOTHER	 You're getting yourself into terrible trouble, my son. Weather's turning very nasty -- and so am I.	STEED (V.O.)	 (filtered) I'm going to follow up on a hunch of my own. If I'm right, Mrs. Peel is innocent and you have a mole.	MOTHER	 (grabs mirror; searches his face) Where?	STEED (V.O.)	 (filtered) In your operation.	Avengers, The 
STEED (V.O.)	 (filtered) I'm going to follow up on a hunch of my own. If I'm right, Mrs. Peel is innocent and you have a mole.	MOTHER	 (grabs mirror; searches his face) Where?	STEED (V.O.)	 (filtered) In your operation.	MOTHER	 I'm warning you for the last time, Steed: whoever's behind all this, looks like Mrs. Peel, walks like Mrs. Peel and kills like Mrs. Peel.	Avengers, The 
MOTHER	 (grabs mirror; searches his face) Where?	STEED (V.O.)	 (filtered) In your operation.	MOTHER	 I'm warning you for the last time, Steed: whoever's behind all this, looks like Mrs. Peel, walks like Mrs. Peel and kills like Mrs. Peel.	280     CLOSE ON MOTHER		Avengers, The 
280     CLOSE ON MOTHER		MOTHER	 Steed?? (to Father) Find Mrs. Peel.					Avengers, The 
FATHER	 (filtered) Emma in Wonderland. Welcome, Mrs. Peel. (filtered) We've been expecting you. We hope you'll enjoy your stay with us. Decontamination is almost complete.	EMMA	 Decontamination -- ?	FATHER	 And you've a new wardrobe. He does want you to look attractive. (beat ) He tells me you're very beautiful.			Avengers, The 
EMMA	 Decontamination -- ?	FATHER	 And you've a new wardrobe. He does want you to look attractive. (beat ) He tells me you're very beautiful.	FATHER	 Relax, Mrs. Peel. We're hundreds of feet below ground. The Ministry made it impregnable. No one can save you.			Avengers, The 
VALENTINE	 A slight miscalculation -- my face was burned beyond recognition. Fortunately my research into plastics came in handy ...	EMMA	 (stunned) Dr. Darling, Peter ... all you ...	VALENTINE	 An unholy trinity ...	EMMA	 (stands) You killed my husband.	Avengers, The 
VALENTINE	 An unholy trinity ...	EMMA	 (stands) You killed my husband.	VALENTINE	 For starters. Of course I had to kill the Teddy Bears, as well ...	EMMA	 Too many cooks --	Avengers, The 
EMMA	 But -- why?	VALENTINE	 You disappoint me, Emma.  Can't you guess? (moves toward her) For you. It was all for you ...	EMMA	 (cold) 'Our revels now are ended.'	VALENTINE	 Oh, no, Emma. They've only just begun ...	Avengers, The 
VALENTINE	 You disappoint me, Emma.  Can't you guess? (moves toward her) For you. It was all for you ...	EMMA	 (cold) 'Our revels now are ended.'	VALENTINE	 Oh, no, Emma. They've only just begun ...			Avengers, The 
VALENTINE	 (indicates supper) Think of this as your second wedding feast ...	EMMA	 I'm already married ...	VALENTINE	 Come, come, you're a widow -- a most attractive widow. Now I think of it, we'll need a bridesmaid. Here.			Avengers, The 
VALENTINE	 Right, bridesmaid. Now what have I left out? Oh, yes, I know: the ring.	EMMA	 (covers her hand) Ring?	VALENTINE	 How silly of me -- let me make you comfortable first ...	DISSOLVE TO:		Avengers, The 
EMMA	 You're mad.	VALENTINE	 Entirely. On the other hand (he advances towards her, smiling) Mad people get things done. Let me show you --					Avengers, The 
VALENTINE	 The missing piece of the jigsaw. I tried to get you to give it to me as Peter; I tried to steal it from you as Dr. Darling. As myself I'll be a bit less subtle. (he slips it off her finger; holds it up) With this ring my plan will be complete.	EMMA	 How Wagnerian ... Do you mean to say you've waited all these years because you couldn't create a chip on your own? That would have amused Peter.	VALENTINE	 Speaking of Peter, there's more good news: You won't even have to change your last name. You'll always be Mrs. Peel.			Avengers, The 
FATHER (V.O.)	 Dr. Darling, this is Father. We have an intruder. I repeat --	VALENTINE	 Ah. That will be Steed. He followed you. Please excuse me. I have work to do. My most spectacular performance. A ballet of clouds. It was made for you. I want to give you a heart, Emma. I want all of London to see it. And now with this ... (flourishes ring) They will. (leans close) And for an encore: the biggest cyclone in history will wipe the City from the face of the earth. (winks) Shape of things to come, my darling.	STEED	 Blast. What to do? Mrs. Peel!			Avengers, The 
STEED	 One shot -- for emergencies.	VALENTINE	 (clutches wound) That's not playing by the rules.	STEED	 (echoes Emma!) Rules are made to be broken.	VALENTINE	 (pulls his own gun) If you say so.	Avengers, The 
VALENTINE	 (clutches wound) That's not playing by the rules.	STEED	 (echoes Emma!) Rules are made to be broken.	VALENTINE	 (pulls his own gun) If you say so.	STEED	 I do.	Avengers, The 
STEED	 (echoes Emma!) Rules are made to be broken.	VALENTINE	 (pulls his own gun) If you say so.	STEED	 I do.	VALENTINE	 You said ... one shot.	Avengers, The 
STEED	 Mrs. Peel -- !	VALENTINE	 Bullet-proof waistcoats -- just the thing. I get mine from Trubshaw's. We'll be off now, won't we, darling? (to Steed) We wouldn't want to miss the fireworks. Figure it out if you can, Steed ...	337     DOWN HATCH		338     ON STEED		Avengers, The 
EMMA	 What kept you?	STEED	 The plot. (realizing) Hello, we must be going ...	353     CLOSEUP - AUTO-DESTRUCT NUMBERS		354     SEVERAL ANGLES		Avengers, The 
EMMA	 Our little paradise -- just made for two?	STEED	 (looks; frowns) Not quite.	STEED	 Our chaperon.	EMMA	 Pity your mother came, too ...	Avengers, The 
